Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
200,11,4,only R,"Relative clauses are usually postnominal, using a relative marker ké in a clause final position. Relativization is reminiscent of focusing. Subjects if relativized are followed by a resumptive pronoun, direct objects are relativized by gapping, indirect/oblique objects are relativized by gapping in combination with fronting of the postposition into a posthead position. Thus only R can be relativized as P by mere gapping in the secundative pattern.

There is also an internal relativization strategy, that allows to relativize on any object, including R (499;17b)).",,390,493.
202,11,2,only T,"R can be relativized only by means of the finite strategy, which makes use of a relative pronoun. The finite strategy can relativize any argument/adjunct. An alternative participial strategy (apparently, this pertains to all participial forms, both present and past), applies only to subject and direct object (P/T), but not to indirect bject (R): cf. P-relativization in (184a) and the ungrammatical (185a).",,391,59-61
204,11,1,either T or R (but not both),"Relativization involves topicalization: the relativized noun is fronted and marked with the topic marker –dan, the rest of the clausal structure is maintained. That is, the relativization strategy is postnominal, finite, gapping. Both R and T can be relativized in this way (like P):",204,397,
,,,,,453,,
205,11,,,"Relative clauses are prenominal and verb-final. The relativizer na is placed just before the verb. The verb is finite. Objects (P,T) can be relativized in that way. It is not clear whether Rs can be also relativized, but apparently it is possible since oblique arguments can be relativized.",454,,
207,11,1,either T or R (but not both),"Relativization of core argument through a postnominal gapping nominalization strategy. In the basic ditransiotive construction both R and T can be relativized by the gapping strategy:
i)	relativization of T; 672 (ex. 9a)
ii)	relativization of R;",456,398,672
209,11,1,either T or R (but not both),"Relativization of core argument through a postnominal gapping nominalization strategy. 
In the applicative ditransiotive construction both R and T can be relativized by the gapping strategy:
(i)	relativization of T; 693 (ex. 40b)
(ii)	relativization of the applied object-addressee in (41a);",209,398,
,,,,,458,,
210,11,2,only T,"R can be relativized only by means of the finite strategy, which makes use of a relative pronoun. The finite strategy can relativize any argument/adjunct. An alternative participial strategy (apparently, this pertains to all participial forms, both present and past), applies only to subject and direct object (P/T), but not to indirect object (R): cf. P-relativization in (184a) and the ungrammatical (185a).",210,391,59-61
,,,,,459,,
211,11,5,either T or R or both,"Relativization is postnominal, RC introduced by the relativizer TI.  Note that unlike other prepositions (see Allative construction), NI is not stranded in case of T-relativization. (Similarly NI is deleted when it introduces an Instrument.)",211,402,18
,,,,,460,,
213,11,,,"Relativization is postnominal, RC introduced by the relativizer TI.  In case of T relativization the object is gapped, but if prepositional R is relativized, the preposition is stranded.",213,,
215,11,1,either T or R (but not both),"Relative clauses are postnominal and finite, introduced by the relative particle. Subjects and objects are relativized by gapping. This also holds for R in a double object construction.",215,403,215
216,11,2,only T,"Relative clauses are postnominal and finite, introduced by the relative particle. Subjects and objects are relativized by gapping. This also holds for R in a double object construction:
From a dative construction however, only T can be reativized by gapping, since the resumptive object pronoun is retained on the preposition if the prepositional R is relativized ; (5); 216.",216,403,216
217,11,1,either T or R (but not both),"Relative clauses are internally headed, the notional head is (optionally) resumed in the main clause by the demonstrative pronoun eu ‘that’. No restriction on relativization of arguments/adjunct; relativization of the R argument of GIVE in (c ) p. 52.",217,85,52-3.
218,11,1,either T or R (but not both),"Relative clauses are internally headed, the notional head is (optionally) resumed in the main clause by the demonstrative pronoun eu ‘that’. No restriction on relativization of arguments/adjunct.",,85,
219,11,1,either T or R (but not both),"Relative clauses are internally headed, the notional head is (optionally) resumed in the main clause by the demonstrative pronoun eu ‘that’. No restriction on relativization of arguments/adjunct.",,85,
225,11,2,only T,"Relative clauses are non-finite pronominal gapping. The verb takes a special “relative” form, with relative pronominal markers replacing the person agreement markers. Since relative markers distinguish between absolutive vs. ergative-oblique markers, the question formation is indirective: the marker y- is used  for questioning S/P/T, the marker z- is used for questioning A/R/Obl; see R-relativization p. 36: ‘I know the woman to whom the man gave the book’",225,406,36
226,11,,,"There are no dedicated relative clauses; RCs are rendered by nominalizations in juxtaposition to head (of the type man, their-killer ‘the man who killed them’, etc). No restrictions noted.",,407,26
227,11,,,"There are no dedicated relative clauses; RCs are rendered by nominalizations in juxtaposition to head (of the type man, their-killer ‘the man who killed them’, etc). No restrictions noted.",,407,26
228,11,1,either T or R (but not both),"Relative clauses are internally headed and are followed (introduced) by the definite article. The definite article and also the verbs as well as the agreement suffix agree in gender/number with the head noun. Thus, [ N/i V-agr/I ] DET/i
Both subjects and objects, but also postpositional adjuncts can be relativized in such way; for postpositional phrases this is non-trivial since outside of relative clauses and focus constructions the agreement suffix can only agree with the core arguments.
cf. (postposiotional) BEN relativized in ex. (391)  . 254
bow him-for it-cut-sg.n this.sg.n. (=bow) ‘bow that she cut for him’",228,409,253.
5,12,14,both R and T,Both R and T can be questioned in a regular way (ia-v ‘what (ACC)’; ngi-du ‘whom (DAT)’.,,,
6,12,14,both R and T,,,,
19,12,14,both R and T,"Any argument of the main clause can be questioned; cf. T-questioning in (64d) and R-questioning in (64c), derived from the basic declarative sentence (64a).",3089,259,13-14
,,,,,3317,,
42,12,,,"Questions about (prepositional) dative (and other prepositional objects) are formed 
a) in situ or
b) by FOC-construction
NB The same options for Ps (284-6); but for S-questioning FOC construction obligatory (282).",3340,264,288
49,12,,,"The discussion of “Wh-Questioning” (74-76) occurs in a section entitled “Properties shared by all terms”, so although there are no relevant examples, presumably both T and R can be questioned.",,,
